cf_id,contact_id,company_name,goal,pledged,outcome,backers_count,country,currency,launched_at,staff_pick,spotlight,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",100,0,failed,0,CA,CAD,1581573600,False,False,1cat,1subcat
1175,2288,Werner-Bryant,1800,7991,successful,222,US,USD,1592629200,False,False,1cat,1subcat
873,2067,Stewart LLC,1300,12047,successful,113,US,USD,1606629600,False,False,1cat,1subcat
2568,5989,Castillo-Carey,142400,21307,failed,296,US,USD,1588654800,False,False,1cat,1subcat
1211,3307,"Wright, Hartman and Yu",3300,12437,successful,131,US,USD,1611900000,False,False,1cat,1subcat
990,3489,Morgan-Martinez,148500,4756,canceled,55,AU,AUD,1616475600,False,False,1cat,1subcat
2228,4404,Alexander-Williams,7200,6927,failed,210,US,USD,1618635600,False,False,1cat,1subcat
509,1867,Mcknight-Freeman,8300,6543,canceled,82,US,USD,1597294800,False,False,1cat,1subcat
966,4840,Huff LLC,121500,119830,failed,2179,US,USD,1618030800,True,False,1cat,1subcat
2765,5565,Ho-Harris,7300,717,failed,10,US,USD,1606802400,False,False,1cat,1subcat
524,5472,Ramsey and Sons,3800,1954,failed,49,US,USD,1637647200,False,False,1cat,1subcat
2991,4136,Martin-Marshall,9600,6401,failed,108,IT,EUR,1608357600,False,True,1cat,1subcat
2049,1340,Rose-Silva,3300,14643,successful,190,US,USD,1611986400,False,False,1cat,1subcat
553,4593,Hensley Ltd,199000,142823,failed,3483,US,USD,1627362000,False,False,1cat,1subcat
1559,4272,Baker Ltd,6300,14199,successful,189,US,USD,1618722000,False,True,1cat,1subcat
2201,3033,Davis and Sons,188200,159405,failed,5497,US,USD,1619845200,False,True,1cat,1subcat
1003,5799,Jones-Riddle,147800,15723,failed,162,US,USD,1603083600,False,True,1cat,1subcat
343,6074,Perry and Sons,3100,9889,successful,194,GB,GBP,1614837600,False,True,1cat,1subcat
3153,2653,Long-Greene,2400,12310,successful,173,GB,GBP,1595826000,False,False,1cat,1subcat
37,3035,Landry Inc,29600,77021,successful,1572,GB,GBP,1624078800,False,True,1cat,1subcat
1067,1640,Henson PLC,56800,173437,successful,2443,US,USD,1627102800,False,True,1cat,1subcat
3019,3274,Ramirez LLC,5900,6608,successful,78,US,USD,1617598800,False,False,1cat,1subcat
2654,5200,"Thomas, Welch and Santana",9800,7120,failed,77,US,USD,1610517600,False,True,1cat,1subcat
76,3259,"Parker, Haley and Foster",2700,9967,successful,144,US,USD,1593061200,False,True,1cat,1subcat
2313,6020,Williams-Santos,9400,6852,failed,156,CA,CAD,1610690400,False,True,1cat,1subcat
349,4722,Brown-George,100,5,failed,1,GB,GBP,1618894800,False,False,1cat,1subcat
766,5019,"Gordon, Mendez and Johnson",137600,180667,successful,2230,US,USD,1598677200,False,False,1cat,1subcat
427,1553,"Martin, Lee and Armstrong",1600,11108,successful,154,GB,GBP,1605679200,True,False,1cat,1subcat
2931,2213,Vargas-Cox,98600,62174,canceled,723,US,USD,1620277200,True,False,1cat,1subcat
2467,5103,"Hobbs, Brown and Lee",118400,49879,failed,504,AU,AUD,1612677600,False,False,1cat,1subcat
1814,4796,Davis Ltd,1400,14511,successful,363,US,USD,1602392400,False,True,1cat,1subcat
2499,4407,"Stafford, Hess and Raymond",2100,540,failed,6,US,USD,1632373200,False,False,1cat,1subcat
3098,3599,"Harris, Medina and Mitchell",5200,1583,failed,19,US,USD,1609567200,False,False,1cat,1subcat
2978,5815,"Miller, Glenn and Adams",4700,11174,successful,110,US,USD,1616389200,False,False,1cat,1subcat
1387,2794,Williams and Sons,2400,8558,successful,158,US,USD,1624942800,False,False,1cat,1subcat
1439,2545,"Ayala, Crawford and Taylor",4000,2778,failed,35,US,USD,1613455200,True,False,1cat,1subcat
2948,5140,"Kane, Pruitt and Rivera",4800,7797,successful,300,US,USD,1637647200,False,False,1cat,1subcat
2734,5678,Estrada Group,163600,126628,failed,1229,US,USD,1604815200,False,False,1cat,1subcat
2599,4140,Wright-Bryant,19800,153338,successful,1460,AU,AUD,1592629200,False,True,1cat,1subcat
1447,1321,Brown-Oliver,8700,1577,failed,15,US,USD,1637647200,False,False,1cat,1subcat
1437,4861,"Peterson, Gonzalez and Spencer",7500,11969,successful,114,US,USD,1600232400,False,False,1cat,1subcat
3209,4532,"Harris, Russell and Mitchell",3600,10657,successful,266,US,USD,1611208800,False,False,1cat,1subcat
1755,1377,Gonzalez-White,2400,8117,successful,114,US,USD,1608530400,False,False,1cat,1subcat
1432,2712,Johnson Group,7000,5177,failed,67,US,USD,1619067600,False,False,1cat,1subcat
2986,3684,Manning-Hamilton,97300,153216,successful,2043,US,USD,1609221600,False,True,1cat,1subcat
1788,4939,"Hernandez, Norton and Kelley",111100,62819,canceled,1122,US,USD,1609308000,False,False,1cat,1subcat
1621,3765,Odom Inc,1400,14560,successful,158,US,USD,1611554400,False,True,2cat,2subcat
2156,4941,"Mcdonald, Gonzalez and Ross",4200,2477,failed,24,US,USD,1634792400,False,False,2cat,2subcat
2502,6202,"Best, Carr and Williams",2000,1599,failed,15,US,USD,1610085600,False,False,2cat,2subcat
3122,5911,Watts Group,5600,11924,successful,111,IT,EUR,1615957200,False,True,2cat,2subcat
1482,3604,"Vaughn, Hunt and Caldwell",3700,4247,successful,92,US,USD,1621746000,False,False,2cat,2subcat
2389,2851,Casey-Kelly,7200,13653,successful,303,US,USD,1611554400,False,False,2cat,2subcat
1610,2109,"Gomez, Bailey and Flores",16800,37857,successful,411,US,USD,1604206800,False,False,2cat,2subcat
2311,1673,Farrell and Sons,198500,123040,failed,1482,AU,AUD,1598158800,False,True,2cat,2subcat
2404,5501,Allen-Curtis,70600,42596,canceled,532,US,USD,1599973200,False,False,2cat,2subcat
2588,3229,"Brown, Palmer and Pace",100,1,failed,1,US,USD,1611208800,False,False,2cat,2subcat
174,4420,Meza-Rogers,36400,26914,canceled,379,AU,AUD,1606197600,False,False,2cat,2subcat
2824,1638,Carlson Inc,2100,4640,successful,41,US,USD,1609135200,False,False,2cat,2subcat
2427,5256,"Keith, Alvarez and Potter",6100,9134,successful,157,CH,CHF,1630818000,False,False,2cat,2subcat
1134,5652,"Rogers, Huerta and Medina",5100,3525,failed,86,CA,CAD,1587013200,False,False,2cat,2subcat
611,3717,"Long, Morgan and Mitchell",42600,8517,failed,243,US,USD,1604728800,False,False,2cat,2subcat
777,5075,"Hull, Baker and Martinez",1800,968,failed,13,US,USD,1584162000,False,False,2cat,2subcat
805,1243,Carney-Anderson,1000,4257,successful,43,US,USD,1608876000,False,True,2cat,2subcat
2159,1544,Sullivan Group,1400,14324,successful,165,US,USD,1622523600,False,False,2cat,2subcat
894,3025,Fox-Quinn,67800,176398,successful,5880,US,USD,1602651600,True,False,2cat,2subcat
1760,3353,Gallegos-Cobb,39500,4323,failed,57,AU,AUD,1611208800,False,True,2cat,2subcat
1955,5544,"Hill, Martin and Garcia",8400,10729,successful,250,US,USD,1598072400,False,True,2cat,2subcat
2635,6147,Robbins and Sons,100,3,failed,1,US,USD,1600232400,False,False,2cat,2subcat
614,4529,"Rosales, Branch and Harmon",80500,96735,successful,1697,US,USD,1604383200,False,True,2cat,2subcat
1792,6084,Smith-Reid,4100,959,failed,15,GB,GBP,1604383200,False,False,2cat,2subcat
1204,5342,Allen-Jones,6300,9935,successful,261,US,USD,1626325200,False,False,2cat,2subcat
669,4087,Mason-Smith,84300,26303,failed,454,US,USD,1628053200,False,True,2cat,2subcat
2741,4548,Lucas-Mullins,8100,1517,failed,29,DK,DKK,1590555600,False,False,2cat,2subcat
641,4184,"Chase, Garcia and Johnson",3500,5037,successful,72,US,USD,1621486800,False,True,2cat,2subcat
336,3510,Miller-Irwin,2200,8697,successful,223,US,USD,1637906400,False,False,2cat,2subcat
341,5842,"Young, Hart and Ryan",5700,903,failed,17,US,USD,1627534800,False,False,2cat,2subcat
3004,4270,Young PLC,98700,131826,successful,2441,US,USD,1598936400,False,False,2cat,2subcat
1194,6201,Mcgee Group,66200,123538,successful,1113,US,USD,1593234000,False,False,2cat,2subcat
3176,1791,Jordan-Acosta,173800,198628,successful,2283,US,USD,1582783200,False,False,2cat,2subcat
642,3314,Nunez Inc,70700,68602,failed,1072,US,USD,1604642400,False,True,2cat,2subcat
2005,2646,Young LLC,74100,94631,successful,2013,US,USD,1631422800,False,False,2cat,2subcat
2612,2140,Lawrence Group,3700,13755,successful,191,US,USD,1619154000,False,False,2cat,2subcat
807,3079,Gray-Davis,5200,8330,successful,139,US,USD,1615528800,False,False,2cat,2subcat
2889,3841,Perry PLC,3400,12275,successful,131,US,USD,1592888400,False,False,2cat,2subcat
2592,2749,Jones-Martin,8100,14083,successful,454,US,USD,1600664400,False,False,2cat,2subcat
1237,5976,Stewart LLC,135600,62804,failed,714,US,USD,1613023200,False,False,2cat,2subcat
305,4666,Padilla-Porter,148400,182302,successful,6286,US,USD,1609394400,False,False,2cat,2subcat
2090,1568,"Turner, Young and Collins",153800,60342,failed,575,US,USD,1603861200,False,False,2cat,2subcat
3136,4807,Smith-Miller,7500,6924,failed,62,IT,EUR,1617858000,False,False,2cat,2subcat
1883,3455,"Sanchez, Bradley and Flores",138700,31123,canceled,528,CH,CHF,1611986400,False,True,2cat,2subcat
1898,4465,Marsh-Coleman,177700,180802,successful,1773,US,USD,1601010000,False,True,2cat,2subcat
1859,3815,Taylor Inc,2800,7742,successful,84,US,USD,1596344400,False,False,2cat,2subcat
2215,3054,"Dougherty, Austin and Mills",170600,75022,failed,1028,US,USD,1607666400,False,False,2cat,2subcat
2470,5869,Anderson Group,6300,14089,successful,135,DK,DKK,1589000400,False,False,2cat,2subcat
2918,5109,Blair Inc,9900,1269,failed,26,CH,CHF,1612504800,False,False,2cat,2subcat
304,3650,Johns PLC,6800,14865,successful,244,US,USD,1604206800,False,False,2cat,2subcat
1654,4266,Martinez-Juarez,31200,95364,successful,2725,US,USD,1623042000,False,True,2cat,2subcat
913,4922,Clements Group,9000,4896,canceled,94,US,USD,1612936800,False,True,2cat,2subcat
3145,2642,Rowe-Wong,700,6654,successful,130,US,USD,1626411600,False,False,2cat,2subcat
653,3401,"Martinez, Garza and Young",108500,175868,successful,2409,IT,EUR,1609912800,False,False,2cat,2subcat
1758,2816,Valencia PLC,3400,6405,successful,160,GB,GBP,1620882000,False,False,2cat,2subcat
507,1742,"Ferguson, Murphy and Bright",192100,178483,failed,4697,US,USD,1619326800,False,True,2cat,2subcat
1016,2442,"Howell, Myers and Olson",52600,31594,canceled,390,US,USD,1619240400,False,False,2cat,2subcat
3182,5734,Murray Ltd,6000,5438,failed,77,GB,GBP,1605765600,False,False,2cat,2subcat
2205,1992,"Cardenas, Thompson and Carey",9200,12322,successful,196,IT,EUR,1618030800,True,False,2cat,2subcat
2285,6141,Evans-Jones,38500,182036,successful,1785,US,USD,1615784400,False,False,2cat,2subcat
1780,1326,Dominguez-Owens,123600,5429,canceled,60,US,USD,1626411600,False,False,2cat,2subcat
1069,1592,"Glass, Baker and Jones",117000,107622,failed,1121,US,USD,1621832400,False,True,2cat,2subcat
2505,3234,Logan-Miranda,29600,167005,successful,1518,CA,CAD,1635829200,False,False,2cat,2subcat
2782,3238,Mitchell-Lee,2200,14420,successful,166,US,USD,1625288400,False,False,2cat,2subcat
2464,2578,Shaffer-Mason,1100,8010,successful,148,US,USD,1632718800,False,False,2cat,2subcat
864,1424,Murphy LLC,9400,968,failed,10,US,USD,1613887200,False,False,2cat,2subcat
988,5685,"Vega, Chan and Carney",7400,10451,successful,138,US,USD,1618722000,False,False,2cat,2subcat
1707,3275,Vance-Glover,61200,60994,failed,859,CA,CAD,1614405600,False,False,2cat,2subcat
415,3607,Welch Inc,6600,8276,successful,110,US,USD,1633496400,False,False,2cat,2subcat
751,3440,Wallace LLC,100,1,failed,1,CH,CHF,1623906000,False,False,2cat,2subcat
1698,1368,English-Mccullough,2600,6987,successful,218,US,USD,1622437200,False,False,2cat,2subcat
2139,2987,Vincent PLC,3200,2950,failed,36,DK,DKK,1628830800,False,True,2cat,2subcat
2442,2431,Watson-Douglas,9000,11721,successful,183,CA,CAD,1616994000,False,False,2cat,2subcat
198,4547,"Valdez, Williams and Meyer",1500,12009,successful,279,GB,GBP,1613196000,False,True,2cat,2subcat
2136,4732,Stewart and Sons,54000,188982,successful,2100,US,USD,1581919200,False,False,2cat,2subcat
3200,5126,Dyer Inc,4100,14640,successful,252,US,USD,1609480800,True,True,2cat,2subcat
1719,3329,"Hood, Perez and Meadows",100,1,failed,1,US,USD,1585976400,True,False,2cat,2subcat
1372,3826,Mueller-Harmon,7900,5465,failed,67,US,USD,1608876000,False,False,2cat,2subcat
1226,5696,Hogan Group,5600,8746,successful,159,US,USD,1619845200,False,True,2cat,2subcat
289,2984,"Mora, Miller and Harper",2300,4883,successful,144,US,USD,1612072800,False,False,2cat,2subcat
3165,5235,Peterson Ltd,14500,159056,successful,1559,US,USD,1587877200,False,True,2cat,2subcat
2925,4401,Nunez-King,2200,8501,successful,207,GB,GBP,1586408400,False,False,2cat,2subcat
2247,4113,Logan-Curtis,170600,114523,failed,4405,US,USD,1605938400,False,True,2cat,2subcat
2408,4762,"Chan, Washington and Callahan",7800,3144,failed,92,US,USD,1618203600,False,False,2cat,2subcat
2632,3494,Ramirez LLC,9800,11091,successful,241,US,USD,1607493600,False,True,2cat,2subcat
970,5468,"Rangel, Holt and Jones",6200,3208,failed,44,US,USD,1628830800,False,False,2cat,6subcat
1239,6181,Fitzgerald PLC,106400,39996,failed,1000,US,USD,1624597200,False,False,2cat,6subcat
253,5755,Douglas LLC,900,9193,successful,164,US,USD,1633496400,False,True,2cat,6subcat
393,4181,"Frye, Hunt and Powell",10000,2461,failed,37,IT,EUR,1620622800,False,False,2cat,6subcat
1090,2277,Parker LLC,137200,88037,failed,1467,US,USD,1638424800,False,False,2cat,6subcat
2536,2974,Smith and Sons,15800,57157,successful,524,US,USD,1612245600,False,False,2cat,6subcat
3039,5066,Palmer Inc,63200,6041,failed,168,US,USD,1617598800,False,False,2cat,6subcat
2685,5773,Ferguson PLC,6300,13213,successful,176,US,USD,1601701200,False,False,2cat,6subcat
1401,4263,Richardson Inc,5000,8907,successful,106,US,USD,1613887200,False,False,2cat,6subcat
810,2269,Webb-Smith,9300,4124,failed,37,US,USD,1630731600,False,True,2cat,6subcat
179,2133,"Wang, Nguyen and Horton",6200,8645,successful,192,US,USD,1631250000,False,False,2cat,6subcat
1659,1373,Fox-Williams,128900,196960,successful,7295,US,USD,1639548000,False,False,2cat,6subcat
2182,1979,West-Stevens,1200,13513,successful,122,US,USD,1617080400,False,False,2cat,6subcat
985,2184,Ramos and Sons,100,1,failed,1,GB,GBP,1623387600,False,False,2cat,6subcat
1519,3842,Rodriguez PLC,167500,114615,failed,1274,US,USD,1579413600,False,False,2cat,6subcat
2004,3606,Bright and Sons,6000,12468,successful,160,US,USD,1634965200,False,False,2cat,6subcat
733,5139,"Craig, Ellis and Miller",84500,193101,successful,2414,US,USD,1610344800,False,False,2cat,6subcat
2394,6234,Santos Group,5600,9508,successful,122,US,USD,1607839200,False,True,2cat,6subcat
671,5602,"Walker, Taylor and Coleman",4200,10295,successful,98,US,USD,1605074400,False,False,2cat,8subcat
1683,5753,"Rodriguez, Rose and Stewart",28200,18829,failed,200,US,USD,1636869600,False,False,2cat,8subcat
2181,3443,"Hill, Lawson and Wilkinson",4900,6430,successful,71,AU,AUD,1622264400,False,False,2cat,8subcat
2912,3006,"Smith, Wells and Nguyen",119200,170623,successful,1917,US,USD,1625806800,False,False,2cat,8subcat
2465,5251,Avila-Jones,5400,7322,successful,70,US,USD,1606975200,False,False,2cat,8subcat
2757,3456,"Payne, Oliver and Burch",6200,13632,successful,195,US,USD,1599541200,False,False,2cat,8subcat
64,1276,"Bowen, Mcdonald and Hall",41500,175573,successful,3376,US,USD,1605247200,False,False,2cat,8subcat
625,2260,Rodriguez-Brown,171300,100650,failed,1059,US,USD,1611900000,False,True,2cat,8subcat
2915,3567,Hernandez Group,128100,40107,failed,955,DK,DKK,1589605200,False,True,2cat,8subcat
1458,2114,"Summers, Gallegos and Stein",188100,5528,failed,67,US,USD,1600923600,False,False,2cat,8subcat
3195,3963,"Calhoun, Rogers and Long",6600,3012,failed,65,US,USD,1587790800,True,False,2cat,8subcat
2691,2969,Morgan-Warren,87900,171549,successful,4289,US,USD,1608444000,False,True,2cat,8subcat
735,2761,"Lloyd, Kennedy and Davis",1700,5328,successful,107,US,USD,1614405600,False,True,2cat,8subcat
3168,1302,"Guerrero, Flores and Jenkins",3400,2809,failed,32,US,USD,1610431200,False,False,2cat,8subcat
2545,4328,Harris-Perry,4100,3087,canceled,75,US,USD,1614924000,False,True,2cat,8subcat
80,4594,Guzman Group,114300,96777,failed,1257,US,USD,1612936800,False,False,2cat,8subcat
116,5810,Little-Marsh,8000,2758,failed,25,US,USD,1633582800,False,True,2cat,8subcat
2087,2017,Ramirez-Myers,900,14547,successful,186,US,USD,1606284000,False,False,2cat,8subcat
1409,3331,Leblanc-Pineda,2700,1479,failed,25,US,USD,1628830800,False,False,2cat,8subcat
764,6089,Cruz Ltd,114800,12938,canceled,145,CH,CHF,1593147600,False,False,2cat,8subcat
1635,2383,"Acosta, Mullins and Morris",97300,62127,failed,941,US,USD,1622178000,False,False,2cat,8subcat
1653,1419,Schmidt-Gomez,5100,2064,failed,83,US,USD,1622610000,False,False,2cat,8subcat
3158,4952,Hensley Ltd,6200,10938,successful,296,US,USD,1603861200,False,True,2cat,8subcat
1646,4765,"Wilson, Brooks and Clark",146400,152438,successful,1605,US,USD,1636869600,False,True,2cat,8subcat
726,2228,"Avila, Ford and Welch",9000,7227,failed,80,GB,GBP,1590296400,False,False,2cat,8subcat
2082,2077,"Holt, Bernard and Johnson",115600,184086,successful,2218,GB,GBP,1609740000,False,False,2cat,8subcat
1807,3012,Harrison-Bridges,77000,1930,failed,49,GB,GBP,1614837600,False,False,2cat,8subcat
1436,6196,Morrison-Henderson,100,4,canceled,1,CH,CHF,1623992400,False,False,2cat,8subcat
2704,1968,Ritter PLC,9500,14408,successful,554,CA,CAD,1608876000,False,False,2cat,8subcat
68,3879,Burnett-Mora,6400,12129,successful,238,GB,GBP,1599368400,False,True,2cat,8subcat
1260,1563,Smith-Smith,189000,5916,failed,64,US,USD,1615356000,False,False,2cat,8subcat
2929,2632,"Dunn, Moreno and Green",1900,2884,successful,96,US,USD,1614060000,False,False,2cat,8subcat
255,1334,Robinson Group,16200,75955,successful,1101,US,USD,1593752400,False,False,2cat,8subcat
842,1639,"Turner, Scott and Gentry",5600,2445,failed,58,IT,EUR,1617166800,False,False,2cat,8subcat
2392,4020,Gardner Inc,3700,5028,successful,180,US,USD,1626930000,False,False,2cat,8subcat
1699,2790,Meyer-Avila,10000,6100,failed,191,US,USD,1606888800,False,False,2cat,8subcat
335,4789,Matthews LLC,3900,8125,successful,198,US,USD,1599282000,True,True,2cat,8subcat
2711,1620,Johnson-Pace,149600,169586,successful,5139,US,USD,1625893200,False,False,2cat,8subcat
1169,5779,Macias Inc,8100,6086,failed,94,US,USD,1599022800,False,False,2cat,8subcat
342,4533,Jones-Ryan,6700,8917,successful,307,US,USD,1616821200,False,True,2cat,8subcat
3061,2222,Collier LLC,17100,111502,successful,1467,CA,CAD,1599627600,False,True,2cat,8subcat
1336,3928,Sanders LLC,150600,127745,failed,1825,US,USD,1612159200,False,False,2cat,8subcat
1062,1422,"Christian, Kim and Jimenez",134400,155849,successful,1470,US,USD,1625979600,False,False,2cat,8subcat
2250,3057,"Thomas, Clay and Mendoza",800,2991,successful,32,US,USD,1589346000,False,False,2cat,8subcat
2175,6073,"Taylor, Santiago and Flores",66600,37823,failed,374,US,USD,1602133200,False,True,2cat,8subcat
378,3714,"Jones, Taylor and Moore",100,2,failed,1,IT,EUR,1633669200,False,False,2cat,17subcat
747,2812,Davis-Michael,3900,4776,successful,85,GB,GBP,1624942800,False,False,2cat,17subcat
1221,2152,Sandoval Group,7100,8716,successful,126,US,USD,1630299600,False,False,2cat,17subcat
2836,4161,Garcia Ltd,5600,5476,failed,137,DK,DKK,1607839200,False,True,2cat,17subcat
467,3219,"Roberts, Hinton and Williams",35000,177936,successful,3016,US,USD,1593838800,False,False,2cat,17subcat
1277,2344,Marquez-Kerr,15800,83267,successful,980,US,USD,1617253200,False,False,2cat,17subcat
2663,2093,Lutz Group,2700,1012,failed,12,IT,EUR,1599454800,False,False,2cat,17subcat
1057,2034,"Wright, Brooks and Villarreal",6600,11746,successful,131,US,USD,1632891600,False,False,2cat,18subcat
1556,3571,Collins-Goodman,1400,9253,successful,88,US,USD,1589173200,False,False,2cat,18subcat
2110,2785,Daniel-Luna,75000,2529,failed,40,US,USD,1603170000,False,False,2cat,18subcat
647,6217,Cole LLC,111900,85902,failed,3182,IT,EUR,1628312400,False,True,2cat,18subcat
2314,5136,Shannon Ltd,100,5,failed,1,US,USD,1611036000,False,True,2cat,18subcat
308,2290,"Owens, Hall and Gonzalez",62800,143788,successful,3059,CA,CAD,1605765600,False,False,2cat,18subcat
2349,5490,King-Nguyen,1300,13678,successful,249,US,USD,1624597200,False,False,2cat,18subcat
2371,2996,Stevens Inc,8200,1546,canceled,37,US,USD,1633669200,False,False,2cat,18subcat
1423,4556,Franklin Inc,6200,6269,successful,87,US,USD,1588309200,False,False,2cat,18subcat
569,4869,Johnson Group,3900,11075,successful,316,US,USD,1614492000,False,True,2cat,18subcat
1805,3418,"Wilson, Wilson and Mathis",100,2,failed,1,US,USD,1623387600,False,False,2cat,18subcat
2747,4073,Smith Group,106800,57872,failed,752,DK,DKK,1630040400,False,False,2cat,18subcat
3129,2623,Young PLC,79400,26571,failed,1063,US,USD,1589950800,False,False,2cat,18subcat
2089,2059,Davis Ltd,3500,6204,successful,100,AU,AUD,1619067600,False,False,2cat,18subcat
2504,4178,Smith-Brown,1500,10946,successful,207,IT,EUR,1606802400,False,True,2cat,18subcat
2575,1717,Cook-Ortiz,17700,150960,successful,1797,US,USD,1623387600,False,False,2cat,18subcat
2444,2141,Best-Young,3100,12620,successful,123,CH,CHF,1597813200,False,False,2cat,18subcat
2107,5445,Gates PLC,4500,13985,successful,159,US,USD,1594270800,False,False,2cat,22subcat
1381,5921,Soto-Anthony,51400,90440,successful,2261,US,USD,1602565200,False,True,2cat,22subcat
2040,4467,Howard-Douglas,88400,121138,successful,1573,US,USD,1600750800,False,False,2cat,22subcat
1812,4187,"Melton, Robinson and Fritz",108400,142523,successful,1425,AU,AUD,1608184800,False,False,3cat,3subcat
1969,3325,Sparks-West,2000,14452,successful,249,US,USD,1629349200,False,False,3cat,3subcat
1291,4995,Mosley-Gilbert,2800,2734,failed,38,US,USD,1621573200,False,True,3cat,3subcat
580,3185,Hanson Inc,2900,8807,successful,180,GB,GBP,1615701600,False,False,3cat,3subcat
478,4865,Charles-Johnson,6800,9829,successful,95,US,USD,1602133200,False,False,3cat,3subcat
718,1612,Jones-Meyer,4700,12635,successful,361,AU,AUD,1603515600,False,False,3cat,3subcat
1106,6151,"Fleming, Zhang and Henderson",164700,166116,successful,2443,GB,GBP,1626498000,False,False,3cat,3subcat
1302,1433,Jackson LLC,64300,65323,successful,1071,US,USD,1588827600,False,False,3cat,3subcat
1410,2720,Figueroa Ltd,5000,11502,successful,117,US,USD,1622005200,False,False,3cat,3subcat
2164,4323,Bruce Group,5500,4300,failed,75,US,USD,1612159200,False,True,3cat,3subcat
2916,1463,Cordova Ltd,90400,110279,successful,2506,US,USD,1620190800,False,False,3cat,3subcat
2424,2703,"Daniels, Rose and Tyler",8600,5315,failed,136,US,USD,1615957200,False,False,3cat,3subcat
797,5923,"Osborne, Perkins and Knox",2100,14305,successful,157,US,USD,1612850400,False,False,3cat,3subcat
1231,4914,Walters-Carter,4500,14649,successful,222,US,USD,1605852000,False,False,3cat,3subcat
266,3386,"Higgins, Davis and Salazar",2700,8799,successful,91,US,USD,1616907600,False,False,3cat,3subcat
2589,1431,Tran LLC,9800,8153,failed,132,US,USD,1613800800,False,False,3cat,3subcat
1414,3174,"Bell, Grimes and Kerr",1800,8219,successful,107,US,USD,1614924000,True,False,3cat,3subcat
2365,3289,Mills Group,8400,3251,canceled,64,US,USD,1585026000,False,False,3cat,3subcat
2900,5720,Petersen and Sons,900,12607,successful,191,US,USD,1620018000,False,False,3cat,3subcat
2352,1613,Ware-Arias,113800,140469,successful,5203,US,USD,1619586000,False,False,3cat,3subcat
1145,4797,Shaw Ltd,1400,8053,successful,139,CA,CAD,1622869200,False,True,3cat,3subcat
2185,5095,"Smith, Brown and Davis",193400,46317,failed,579,DK,DKK,1640584800,False,False,3cat,3subcat
1522,2066,"Turner, Miller and Francis",2100,837,failed,19,US,USD,1608962400,False,True,3cat,3subcat
1384,3578,Martin-James,180100,105598,failed,2779,AU,AUD,1610344800,False,True,3cat,3subcat
1835,4109,"Sanchez, Cross and Savage",6000,3841,failed,71,US,USD,1613368800,False,False,3cat,3subcat
1368,1651,Nunez-Richards,86400,103255,successful,1613,US,USD,1602478800,False,False,3cat,3subcat
2988,3530,Cisneros Ltd,10000,12684,successful,409,US,USD,1602910800,False,False,3cat,3subcat
3169,3731,Williams-Jones,600,14033,successful,234,US,USD,1588741200,False,False,3cat,3subcat
497,5156,Nguyen Inc,7300,7348,successful,69,US,USD,1599800400,False,False,3cat,3subcat
